INTEGRATION REFERENCES LIST                    MAR 18,2015  11:22    PAGE 1
      1672  NOV 17,2006  ORDER ENTRY/RESULTS REPORTING
      1676  FEB 17,2006  ORDER ENTRY/RESULTS REPORTING
      1681  NOV 17,2006  ORDER ENTRY/RESULTS REPORTING
      1684  NOV 17,2006  ORDER ENTRY/RESULTS REPORTING
      1685  NOV 17,2006  ORDER ENTRY/RESULTS REPORTING
      1687  NOV 17,2006  ORDER ENTRY/RESULTS REPORTING
      1689  NOV 17,2006  ORDER ENTRY/RESULTS REPORTING
      1691  NOV 17,2006  ORDER ENTRY/RESULTS REPORTING
      1692  NOV 17,2006  ORDER ENTRY/RESULTS REPORTING
      1693  NOV 17,2006  ORDER ENTRY/RESULTS REPORTING
      1694  NOV 17,2006  ORDER ENTRY/RESULTS REPORTING
      1699  NOV 17,2006  ORDER ENTRY/RESULTS REPORTING
      1702  NOV 17,2006  ORDER ENTRY/RESULTS REPORTING
      1705  APR 30,2003  TEXT INTEGRATION UTILITIES
      1706  APR 30,2003  TEXT INTEGRATION UTILITIES
      1713  NOV 17,2006  SCHEDULING
      1714  NOV 17,2006  SCHEDULING
      1715  NOV 17,2006  SCHEDULING
      1717  NOV 17,2006  SCHEDULING
      1718  NOV 17,2006  SCHEDULING
      1719  NOV 17,2006  SCHEDULING
      1720  NOV 17,2006  SCHEDULING
      1721  NOV 17,2006  SCHEDULING
      1722  NOV 17,2006  SCHEDULING
      1723  NOV 17,2006  SCHEDULING
      1724  NOV 17,2006  SCHEDULING
      1725  NOV 17,2006  SCHEDULING
      1726  NOV 17,2006  SCHEDULING
      1727  NOV 17,2006  SCHEDULING
      1728  NOV 17,2006  SCHEDULING
      1729  NOV 17,2006  SCHEDULING
      1730  NOV 17,2006  SCHEDULING
      1731  NOV 17,2006  SCHEDULING
      1732  NOV 17,2006  SCHEDULING
      1733  NOV 17,2006  SCHEDULING
      1734  NOV 17,2006  SCHEDULING
      1735  NOV 17,2006  SCHEDULING
      1736  NOV 17,2006  SCHEDULING
      1737  NOV 17,2006  SCHEDULING
      1738  NOV 17,2006  SCHEDULING
      1739  NOV 17,2006  SCHEDULING
      1740  NOV 17,2006  SCHEDULING
      1741  NOV 17,2006  SCHEDULING
      1751  NOV 17,2006  RPC BROKER
      1752  NOV 17,2006  SCHEDULING
      1753  NOV 17,2006  SCHEDULING
      1754  NOV 17,2006  SCHEDULING
      1755  NOV 17,2006  SCHEDULING
      1756  NOV 17,2006  SCHEDULING
      1757  NOV 17,2006  SCHEDULING
      1758  NOV 17,2006  SCHEDULING
      1759  NOV 17,2006  SCHEDULING
      1760  NOV 17,2006  SCHEDULING
      1761  NOV 17,2006  SCHEDULING
      1762  NOV 17,2006  SCHEDULING
      1763  NOV 17,2006  SCHEDULING
      1764  NOV 17,2006  SCHEDULING
      1765  NOV 17,2006  SCHEDULING
      1766  NOV 17,2006  SCHEDULING
      1767  NOV 17,2006  SCHEDULING
      1768  NOV 17,2006  SCHEDULING
      1769  NOV 17,2006  SCHEDULING
      1770  NOV 17,2006  SCHEDULING
      1771  NOV 17,2006  SCHEDULING
      1772  NOV 17,2006  SCHEDULING
      1773  NOV 17,2006  SCHEDULING
      1774  NOV 17,2006  SCHEDULING
      1775  NOV 17,2006  SCHEDULING
      1776  NOV 17,2006  SCHEDULING
      1777  NOV 17,2006  SCHEDULING
      1778  NOV 17,2006  SCHEDULING
      1779  NOV 17,2006  SCHEDULING
      1780  NOV 17,2006  SCHEDULING
      1781  NOV 17,2006  SCHEDULING
      1782  NOV 28,2006  TEXT INTEGRATION UTILITIES
      1783  APR 29,2003  TEXT INTEGRATION UTILITIES
      1784               TEXT INTEGRATION UTILITIES
      1790               TEXT INTEGRATION UTILITIES
      1791               ORDER ENTRY/RESULTS REPORTING
      1796  APR 30,2003  TEXT INTEGRATION UTILITIES
      1797               SCHEDULING
      1798               SCHEDULING
      1799               TEXT INTEGRATION UTILITIES
      1800               TEXT INTEGRATION UTILITIES
      1801               TEXT INTEGRATION UTILITIES
      1802  APR 30,2003  TEXT INTEGRATION UTILITIES
      1805               TEXT INTEGRATION UTILITIES
      1806  APR 29,2003  TEXT INTEGRATION UTILITIES
      1811               TEXT INTEGRATION UTILITIES
      1812               ORDER ENTRY/RESULTS REPORTING
      1813               ORDER ENTRY/RESULTS REPORTING
      1814               ORDER ENTRY/RESULTS REPORTING
      1815               ORDER ENTRY/RESULTS REPORTING
      1816  MAR 24,2011  ORDER ENTRY/RESULTS REPORTING
      1817               ORDER ENTRY/RESULTS REPORTING
      1819               ORDER ENTRY/RESULTS REPORTING
      1824               ORDER ENTRY/RESULTS REPORTING
      1834               TEXT INTEGRATION UTILITIES
      1835  APR 29,2003  TEXT INTEGRATION UTILITIES
      1836               ORDER ENTRY/RESULTS REPORTING
      1837               ORDER ENTRY/RESULTS REPORTING
      1838               ORDER ENTRY/RESULTS REPORTING
      1839               ORDER ENTRY/RESULTS REPORTING
      1840               ORDER ENTRY/RESULTS REPORTING
      1841  DEC 18,2009  ORDER ENTRY/RESULTS REPORTING
      1847  NOV 21,1996  REGISTRATION
      1848  NOV 26,1996  REGISTRATION
      1849  NOV 26,1996  REGISTRATION
      1850  NOV 26,1996  REGISTRATION
      1851  DEC  3,1996  RADIOLOGY/NUCLEAR MEDICINE
      1852  DEC  3,1996  RADIOLOGY/NUCLEAR MEDICINE
      1853  DEC  3,1996  SURGERY
      1854  DEC  3,1996  SURGERY
      1855  DEC  3,1996  SURGERY
      1856  DEC  3,1996  REGISTRATION
      1857  DEC  4,1996  REGISTRATION
      1858  DEC  4,1996  RADIOLOGY/NUCLEAR MEDICINE
      1859  DEC  4,1996  RADIOLOGY/NUCLEAR MEDICINE
      1860  DEC  4,1996  RADIOLOGY/NUCLEAR MEDICINE
      1861  DEC  4,1996  REGISTRATION
      1863  DEC  4,1996  DENTAL
      1864  DEC  4,1996  DENTAL
      1865  DEC  5,1996  REGISTRATION
      1867  DEC  5,1996  KERNEL
      1869  DEC  5,1996  EVENT CAPTURE
      1870  DEC  5,1996  EVENT CAPTURE
      1872  DEC  5,1996  EVENT CAPTURE
      1873  DEC  5,1996  EVENT CAPTURE
      1874  DEC  5,1996  EVENT CAPTURE
      1875  DEC  5,1996  EVENT CAPTURE
      1876  DEC  6,1996  OUTPATIENT PHARMACY
      1877  DEC 10,1996  NURSING SERVICE
      1878  DEC 11,1996  OUTPATIENT PHARMACY
      1880  DEC 12,1996  PHARMACY DATA MANAGEMENT
      1882  DEC 12,1996  DSS EXTRACTS
      1884  DEC 13,1996  INPATIENT MEDICATIONS
      1886  JAN 16,1997  HOSPITAL BASED HOME CARE
      1887  JAN 17,1997  HOSPITAL BASED HOME CARE
      1888  JAN 23,1997  REGISTRATION
      1889  JAN 23,1997  PCE PATIENT CARE ENCOUNTER
      1890  JAN 23,1997  PCE PATIENT CARE ENCOUNTER
      1891  JAN 23,1997  PCE PATIENT CARE ENCOUNTER
      1892  JAN 23,1997  PCE PATIENT CARE ENCOUNTER
      1893  MAR  8,2004  PCE PATIENT CARE ENCOUNTER
      1894  JAN 23,1997  PCE PATIENT CARE ENCOUNTER
      1895  MAR  2,2004  PCE PATIENT CARE ENCOUNTER
      1896  JAN 23,1997  PCE PATIENT CARE ENCOUNTER
      1897  JAN 23,1997  PCE PATIENT CARE ENCOUNTER
      1898  JAN 23,1997  PCE PATIENT CARE ENCOUNTER
      1899  JAN 23,1997  PCE PATIENT CARE ENCOUNTER
      1900  JAN 23,1997  PCE PATIENT CARE ENCOUNTER
      1901  JAN 23,1997  PCE PATIENT CARE ENCOUNTER
      1902  JAN 23,1997  PCE PATIENT CARE ENCOUNTER
      1903  JAN 23,1997  PCE PATIENT CARE ENCOUNTER
      1904  JAN 23,1997  PCE PATIENT CARE ENCOUNTER
      1905  JAN 23,1997  PCE PATIENT CARE ENCOUNTER
      1906  JAN 23,1997  PCE PATIENT CARE ENCOUNTER
      1907  JAN 23,1997  PCE PATIENT CARE ENCOUNTER
      1908  JAN 23,1997  PCE PATIENT CARE ENCOUNTER
      1909  JAN 23,1997  PCE PATIENT CARE ENCOUNTER
      1910  JAN 24,1997  SCHEDULING
      1911  JAN 24,1997  TEXT INTEGRATION UTILITIES
      1912  JAN 28,1997  VA FILEMAN
      1914  JAN 29,1997  GEN. MED. REC. - VITALS
      1916  FEB  5,1997  SCHEDULING
      1929  FEB 12,1997  AUTO REPLENISHMENT/WARD STOCK
      1930  FEB 13,1997  PHARMACY DATA MANAGEMENT
      1931  FEB 13,1997  PHARMACY DATA MANAGEMENT
      1932  FEB 13,1997  INCOMPLETE RECORDS TRACKING
      1934  FEB 14,1997  AUTOMATED MED INFO EXCHANGE
      1936  FEB 14,1997  INTEGRATED BILLING
      1937  FEB 18,1997  HEALTH LEVEL SEVEN
      1938  FEB 19,1997  GEN. MED. REC. - VITALS
      1939  FEB 19,1997  HEALTH LEVEL SEVEN
      1940  FEB 19,1997  GEN. MED. REC. - VITALS
      1941  FEB 21,1997  VA FILEMAN
      1945  MAR  3,1997  SCHEDULING
      1946  MAR  4,1997  LAB SERVICE
      1947  MAR  4,1997  LAB SERVICE
      1948  MAR  4,1997  LAB SERVICE
      1949  MAR  4,1997  LAB SERVICE
      1950  MAR  4,1997  LAB SERVICE
      1951  MAR  4,1997  LAB SERVICE
      1953  MAR  4,1997  LAB SERVICE
      1954  MAR  4,1997  LAB SERVICE
      1955  MAR  4,1997  DSS EXTRACTS
      1956  MAR  6,1997  KERNEL
      1957  MAR 10,1997  VA FILEMAN
      1958  MAR 19,1997  LAB SERVICE
      1962  MAR 21,1997  LAB SERVICE
      1963  MAR 21,1997  LAB SERVICE
      1965  MAR 22,1997  GEN. MED. REC. - I/O
      1966  MAR 25,1997  MAILMAN
      1967  MAR 27,1997  PHARMACY DATA MANAGEMENT
      1968  MAR 27,1997  OUTPATIENT PHARMACY
      1969  MAR 27,1997  OUTPATIENT PHARMACY
      1970  MAR 27,1997  OUTPATIENT PHARMACY
      1971  MAR 27,1997  OUTPATIENT PHARMACY
      1972  MAR 27,1997  OUTPATIENT PHARMACY
      1973  MAR 27,1997  OUTPATIENT PHARMACY
      1974  MAR 27,1997  OUTPATIENT PHARMACY
      1978  MAR 28,1997  OUTPATIENT PHARMACY
      1979  MAR 28,1997  PHARMACY DATA MANAGEMENT
      1980  MAR 28,1997  PHARMACY DATA MANAGEMENT
      1983  MAR 28,1997  PHARMACY DATA MANAGEMENT
      1985  APR  2,1997  PCE PATIENT CARE ENCOUNTER
      1986  MAY  7,1997  VA FILEMAN
      1987  APR  4,1997  PCE PATIENT CARE ENCOUNTER
      1988  APR  4,1997  PCE PATIENT CARE ENCOUNTER
      1989  APR  4,1997  PCE PATIENT CARE ENCOUNTER
      1990  APR  4,1997  PCE PATIENT CARE ENCOUNTER
      1991  APR  4,1997  PCE PATIENT CARE ENCOUNTER
      1992  APR  4,1997  INTEGRATED BILLING
      1994  APR  8,1997  PCE PATIENT CARE ENCOUNTER
      1995  APR  8,1997  CPT/HCPCS CODES
      1996  APR  8,1997  CPT/HCPCS CODES
      1997  APR  8,1997  CPT/HCPCS CODES
      1998  APR  9,1997  OUTPATIENT PHARMACY
      2005  APR 15,1997  IFCAP
      2010  APR 15,1997  REGISTRATION
      2011  APR 15,1997  REGISTRATION
      2012  APR 15,1997  RADIOLOGY/NUCLEAR MEDICINE
      2013  APR 16,1997  KERNEL
      2015  APR 29,1997  PHARMACY DATA MANAGEMENT
      2018  OCT 28,2003  RPC BROKER
      2019  MAY 13,1997  DIETETICS
      2021  MAY 16,1997  VA FILEMAN
      2022  MAY 19,1997  VA FILEMAN
      2023  MAY 19,1997  VA FILEMAN
      2024  MAY 20,1997  ACCOUNTS RECEIVABLE
      2027  MAY 28,1997  INDIAN HEALTH SERVICE
      2028  MAY 28,1997  PCE PATIENT CARE ENCOUNTER
      2029  JUN  2,1997  OUTPATIENT PHARMACY
      2030  JUN  3,1997  INTEGRATED BILLING
      2031  JUN  4,1997  INTEGRATED BILLING
      2032  JUN 10,1997  VA FILEMAN
      2033  JUN 13,1997  SURGERY
      2034  JUN 16,1997  INTEGRATED BILLING
      2035  JUN  4,1997  INTEGRATED BILLING
      2036  JUN  6,1997  VA FILEMAN
      2037  APR 21,2003  INTEGRATED BILLING
      2038  JUN 17,1997  ORDER ENTRY/RESULTS REPORTING
      2039  JUN 24,1997  CLINICAL PROCEDURES
      2040  JUN 24,1997  CLINICAL PROCEDURES
      2041  JUN 25,1997  REGISTRATION
      2043  JUN 27,1997  RADIOLOGY/NUCLEAR MEDICINE
      2045  JUN 30,1997  SCHEDULING
      2048  JUN 30,1997  PCE PATIENT CARE ENCOUNTER
      2049  JUN 30,1997  REGISTRATION
      2050  JUL  2,1997  VA FILEMAN
      2051  JUL  2,1997  VA FILEMAN
      2052  JUL  2,1997  VA FILEMAN
      2053  JUL  2,1997  VA FILEMAN
      2054  JUL  2,1997  VA FILEMAN
      2055  JUL  2,1997  VA FILEMAN
      2056  JUL  2,1997  VA FILEMAN
      2058  JUL  7,1997  KERNEL
      2060  JUL  9,1997  ORDER ENTRY/RESULTS REPORTING
      2061  JUL 11,1997  MAILMAN
      2065  JUL 21,1997  SCHEDULING
      2067  JUL 22,1997  KERNEL
      2068  JUL 24,1997  ACCOUNTS RECEIVABLE
      2069  JUL 24,1997  REGISTRATION
      2070  AUG  4,1997  REGISTRATION
      2071  AUG 12,1997  IFCAP
      2074  AUG 18,1997  SCHEDULING
      2075  AUG 20,1997  TOOLKIT
      2076  AUG 20,1997  REGISTRATION
      2077  SEP 24,1997  PCE PATIENT CARE ENCOUNTER
      2078  AUG 20,1997  TOOLKIT
      2079  AUG 22,1997  NATIONAL DRUG FILE
      2080  AUG 22,1997  NATIONAL DRUG FILE
      2081  SEP 30,1997  VA FILEMAN
      2082  AUG 25,1997  AUTOMATED INFO COLLECTION SYS
      2083  AUG 26,1997  SCHEDULING
      2084  AUG 26,1997  SCHEDULING
      2085  AUG 26,1997  REGISTRATION
      2086  AUG 26,1997  REGISTRATION
      2087  AUG 26,1997  GEN. MED. REC. - VITALS
      2088  AUG 26,1997  SCHEDULING
      2090  AUG 27,1997  REGISTRATION
      2091  AUG 27,1997  KERNEL
      2092  AUG 27,1997  LAB SERVICE
      2093  AUG 27,1997  LAB SERVICE
      2094  AUG 27,1997  KERNEL
      2095  SEP  4,1997  PHARMACY DATA MANAGEMENT
      2096  DEC  1,2005  SCHEDULING
      2097  AUG 29,1997  VA FILEMAN
      2098  SEP  2,1997  VA FILEMAN
      2099  SEP  5,1997  OUTPATIENT PHARMACY
      2100  SEP 16,1997  INPATIENT MEDICATIONS
      2104  SEP  5,1997  DRUG ACCOUNTABILITY
      2105  SEP  5,1997  CONTROLLED SUBSTANCES
      2106  SEP  5,1997  NATIONAL DRUG FILE
      2107  SEP  5,1997  CMOP
      2108  SEP  5,1997  INPATIENT MEDICATIONS
      2109  SEP 16,1997  INPATIENT MEDICATIONS
      2110  SEP 16,1997  INPATIENT MEDICATIONS
      2111  SEP 16,1997  INPATIENT MEDICATIONS
      2112  SEP 16,1997  INPATIENT MEDICATIONS
      2114  SEP 16,1997  INPATIENT MEDICATIONS
      2115  SEP 16,1997  INPATIENT MEDICATIONS
      2116  SEP  5,1997  INPATIENT MEDICATIONS
      2118  SEP  5,1997  KERNEL
      2119  SEP  5,1997  KERNEL
      2120  SEP  5,1997  KERNEL
      2121  SEP  5,1997  KERNEL
      2122  SEP  5,1997  OUTPATIENT PHARMACY
      2124  SEP  5,1997  KERNEL
      2125  SEP  8,1997  INPATIENT MEDICATIONS
      2127  SEP  8,1997  INPATIENT MEDICATIONS
      2131  SEP  8,1997  CONTROLLED SUBSTANCES
      2132  SEP  8,1997  INPATIENT MEDICATIONS
      2133  SEP  8,1997  NATIONAL DRUG FILE
      2135  SEP  8,1997  IFCAP
      2136  SEP  9,1997  NATIONAL DRUG FILE
      2137  SEP  9,1997  NATIONAL DRUG FILE
      2138  SEP  9,1997  NATIONAL DRUG FILE
      2139  NOV 25,1998  INPATIENT MEDICATIONS
      2140  SEP  9,1997  INPATIENT MEDICATIONS
      2142  SEP 10,1997  KERNEL
      2143  SEP 10,1997  KERNEL
      2144  SEP 17,1997  INPATIENT MEDICATIONS
      2145  SEP 17,1997  INPATIENT MEDICATIONS
      2146  SEP 17,1997  INPATIENT MEDICATIONS
      2150  SEP 17,1997  INPATIENT MEDICATIONS
      2153  JUL  7,2000  INPATIENT MEDICATIONS
      2154  SEP 17,1997  INPATIENT MEDICATIONS
      2155  JUL  7,2000  INPATIENT MEDICATIONS
      2156  JUL  7,2000  INPATIENT MEDICATIONS
      2157  JUL  7,2000  INPATIENT MEDICATIONS
      2159  SEP 29,1997  VA FILEMAN
      2160  SEP 30,1997  KERNEL
      2161  OCT 29,1997  HEALTH LEVEL SEVEN
      2163  DEC  9,1997  QUALITY ASSURANCE INTEGRATION
      2164  OCT 30,1997  HEALTH LEVEL SEVEN
      2165  OCT 30,1997  HEALTH LEVEL SEVEN
      2166  MAR 10,2006  ADVERSE REACTION TRACKING
      2167  OCT 30,1997  ADVERSE REACTION TRACKING
      2171  OCT  7,1997  KERNEL
      2172  OCT  8,1997  KERNEL
      2173  OCT 14,1997  PHARMACY DATA MANAGEMENT
      2174  OCT 14,1997  PHARMACY DATA MANAGEMENT
      2175  OCT 14,1997  PHARMACY DATA MANAGEMENT
      2176  OCT 14,1997  PHARMACY DATA MANAGEMENT
      2177  OCT 14,1997  PHARMACY DATA MANAGEMENT
      2178  OCT 14,1997  PHARMACY DATA MANAGEMENT
      2179  OCT 14,1997  PHARMACY DATA MANAGEMENT
      2180  OCT 14,1997  PHARMACY DATA MANAGEMENT
      2181  OCT 15,1997  PHARMACY DATA MANAGEMENT
      2182  JAN 14,1998  CLINICAL REMINDERS
      2184  OCT 15,1997  DRG GROUPER
      2185  OCT 16,1997  ORDER ENTRY/RESULTS REPORTING
      2186  OCT 16,1997  ORDER ENTRY/RESULTS REPORTING
      2187  OCT 16,1997  ORDER ENTRY/RESULTS REPORTING
      2188  OCT 16,1997  OUTPATIENT PHARMACY
      2189  OCT 17,1997  OUTPATIENT PHARMACY
      2190  OCT 21,1997  OUTPATIENT PHARMACY
      2191  OCT 21,1997  PHARMACY DATA MANAGEMENT
      2192  OCT 21,1997  PHARMACY DATA MANAGEMENT
      2195  OCT 22,1997  NATIONAL DRUG FILE
      2196  OCT 22,1997  NATIONAL DRUG FILE
      2197  OCT 25,1997  KERNEL
      2198  NOV 19,1997  RPC BROKER
      2199  OCT 27,1997  CMOP
      2200  OCT 28,1997  CMOP
      2201  OCT 28,1997  CMOP
      2203  OCT 28,1997  CMOP
      2204  OCT 28,1997  CMOP
      2205  OCT 28,1997  CMOP
      2206  OCT 28,1997  CMOP
      2207  OCT 28,1997  CMOP
      2208  OCT 28,1997  CMOP
      2209  OCT 28,1997  CMOP
      2211  OCT 29,1997  OUTPATIENT PHARMACY
      2212  OCT 29,1997  KERNEL
      2213  OCT 29,1997  TOOLKIT
      2214  OCT 30,1997  ADVERSE REACTION TRACKING
      2215  OCT 30,1997  INTEGRATED BILLING
      2216  OCT 30,1997  INTEGRATED BILLING
      2219  NOV  3,1997  ORDER ENTRY/RESULTS REPORTING
      2220  APR  1,1998  SCHEDULING
      2221  NOV  3,1997  NATIONAL DRUG FILE
      2223  NOV  3,1997  PHARMACY DATA MANAGEMENT
      2224  NOV  3,1997  PHARMACY DATA MANAGEMENT
      2225  NOV  3,1997  PHARMACY DATA MANAGEMENT
      2226  NOV  3,1997  PHARMACY DATA MANAGEMENT
      2227  NOV  4,1997  PHARMACY DATA MANAGEMENT
      2228  NOV 14,2005  PHARMACY DATA MANAGEMENT
      2229  NOV  4,1997  NATIONAL DRUG FILE
      2230  NOV  4,1997  CMOP
      2231  NOV  4,1997  CMOP
      2232  NOV  5,1997  KERNEL
      2233  NOV  6,1997  REGISTRATION
      2235  NOV  6,1997  KERNEL
      2236  APR  1,1998  SCHEDULING
      2237  NOV  6,1997  SURGERY
      2238  NOV 19,1997  RPC BROKER
      2239  NOV 19,1997  RPC BROKER
      2240  NOV 19,1997  KERNEL
      2241  NOV 19,1997  KERNEL
      2242  NOV 20,1997  REGISTRATION
      2243  DEC  3,1997  KERNEL
      2244  DEC  4,1997  QUALITY ASSURANCE INTEGRATION
      2245  DEC  9,1997  INTEGRATED BILLING
      2246  JAN  7,1998  KERNEL
      2247  DEC  9,1997  KERNEL
      2248  DEC 12,1997  REGISTRATION
      2249  DEC  9,1997  REGISTRATION
      2250  DEC  9,1997  KERNEL
      2251  AUG 25,2003  KERNEL
      2252  DEC 16,1997  KERNEL
      2253  DEC 30,1997  VA FILEMAN
      2255  DEC 30,1997  VA FILEMAN
      2256  DEC 31,1997  VA FILEMAN
      2257  JAN  6,1998  OUTPATIENT PHARMACY
      2258  JAN  6,1998  OUTPATIENT PHARMACY
      2259  JAN  6,1998  OUTPATIENT PHARMACY
      2260  JAN  9,1998  OUTPATIENT PHARMACY
      2261  JAN  9,1998  NATIONAL DRUG FILE
      2263  JAN 11,1998  TOOLKIT
      2264  JAN 12,1998  MAILMAN
      2266  JAN 20,1998  RADIOLOGY/NUCLEAR MEDICINE
      2267  JAN 20,1998  RADIOLOGY/NUCLEAR MEDICINE
      2268  JAN 20,1998  RADIOLOGY/NUCLEAR MEDICINE
      2269  JAN 23,1998  REGISTRATION
      2270  JAN 23,1998  HEALTH LEVEL SEVEN
      2271  JAN 23,1998  HEALTH LEVEL SEVEN
      2278  FEB  2,1998  IFCAP
      2283  FEB  3,1998  DRUG ACCOUNTABILITY
      2284  FEB  3,1998  AUTO REPLENISHMENT/WARD STOCK
      2285  FEB  3,1998  ORDER ENTRY/RESULTS REPORTING
      2286  FEB  3,1998  ORDER ENTRY/RESULTS REPORTING
      2287  FEB  6,1998  DIETETICS
      2289  FEB  6,1998  DIETETICS
      2290  FEB  6,1998  DIETETICS
      2291  FEB  6,1998  DIETETICS
      2292  FEB  6,1998  DIETETICS
      2293  FEB  6,1998  DIETETICS
      2294  FEB  6,1998  DIETETICS
      2295  FEB  7,1998  REGISTRATION
      2296  FEB  7,1998  REGISTRATION
      2298  MAR  5,1998  VA FILEMAN
      2300  FEB  7,1998  REGISTRATION
      2309  FEB  7,1998  PCE PATIENT CARE ENCOUNTER
      2310  FEB  7,1998  PCE PATIENT CARE ENCOUNTER
      2311  FEB  7,1998  PCE PATIENT CARE ENCOUNTER
      2312  FEB  7,1998  PCE PATIENT CARE ENCOUNTER
      2313  FEB  7,1998  PCE PATIENT CARE ENCOUNTER
      2314  FEB  7,1998  PCE PATIENT CARE ENCOUNTER
      2315  FEB  7,1998  PCE PATIENT CARE ENCOUNTER
      2316  FEB  7,1998  PCE PATIENT CARE ENCOUNTER
      2317  FEB  7,1998  PCE PATIENT CARE ENCOUNTER
      2318  FEB  7,1998  PCE PATIENT CARE ENCOUNTER
      2319  FEB  9,1998  DIETETICS
      2320  FEB  9,1998  KERNEL
      2321  FEB 10,1998  TEXT INTEGRATION UTILITIES
      2322  FEB 10,1998  TEXT INTEGRATION UTILITIES
      2323  FEB 10,1998  TEXT INTEGRATION UTILITIES
      2325  FEB 10,1998  AUTHORIZATION/SUBSCRIPTION
      2326  FEB 12,1998  DIETETICS
      2327  FEB 17,1998  INTEGRATED BILLING
      2328  FEB 17,1998  INTEGRATED BILLING
      2329  FEB 19,1998  AUTHORIZATION/SUBSCRIPTION
      2331  MAR  2,1998  LAB SERVICE
      2332  MAR  2,1998  LAB SERVICE
      2333  MAR  2,1998  LAB SERVICE
      2334  MAR  4,1998  LIST MANAGER
      2335  MAY 11,1998  TOOLKIT
      2336  MAY 11,1998  TOOLKIT
      2338  MAY 11,1998  TOOLKIT
      2340  MAR  5,1998  VA FILEMAN
      2341  MAR  5,1998  REGISTRATION
      2342  MAY 27,1998  HEALTH LEVEL SEVEN
      2343  MAR 10,1998  KERNEL
      2345  JUN  1,1998  IFCAP
      2346  MAR 24,1998  REGISTRATION
      2347  MAR 24,1998  FEE BASIS
      2348  MAR 24,1998  PCE PATIENT CARE ENCOUNTER
      2349  MAR 24,1998  PCE PATIENT CARE ENCOUNTER
      2350  MAR 26,1998  INPATIENT MEDICATIONS
      2351  MAR 26,1998  INTEGRATED BILLING
      2353  APR  3,1998  PCE PATIENT CARE ENCOUNTER
      2354  APR  3,1998  PCE PATIENT CARE ENCOUNTER
      2355  APR  3,1998  PCE PATIENT CARE ENCOUNTER
      2356  APR  3,1998  PCE PATIENT CARE ENCOUNTER
      2357  APR  3,1998  PCE PATIENT CARE ENCOUNTER
      2358  APR  3,1998  OUTPATIENT PHARMACY
      2360  APR  8,1998  REGISTRATION
      2361  APR 16,1998  VA FILEMAN
      2362  APR 21,1998  KERNEL
      2363  APR 21,1998  KERNEL
      2364  APR 21,1998  PAID
      2365  APR 27,1998  TOOLKIT
      2371  APR 28,1998  SCHEDULING
      2373  APR 29,1998  VA FILEMAN
      2374  APR 29,1998  VA FILEMAN
      2375  APR 29,1998  VA FILEMAN
      2376  APR 30,1998  INPATIENT MEDICATIONS
      2377  APR 30,1998  VA FILEMAN
      2380  MAY  6,1998  ADVERSE REACTION TRACKING
      2381  MAY  6,1998  PHARMACY DATA MANAGEMENT
      2382  MAY  7,1998  CLINICAL INFO RESOURCE NETWORK
      2383  MAY  7,1998  INPATIENT MEDICATIONS
      2384  MAY  7,1998  INPATIENT MEDICATIONS
      2385  MAY  7,1998  OUTPATIENT PHARMACY
      2386  MAY  9,1998  VA FILEMAN
      2387  MAY  9,1998  LAB SERVICE
      2388  MAY  9,1998  LAB SERVICE
      2389  MAY  9,1998  LAB SERVICE
      2390  MAY  9,1998  LAB SERVICE
      2391  MAY  9,1998  LAB SERVICE
      2392  MAY 10,1998  PHARMACY DATA MANAGEMENT
      2395  MAY 10,1998  CONSULT/REQUEST TRACKING
      2397  MAY 10,1998  OUTPATIENT PHARMACY
      2398  MAY 10,1998  OUTPATIENT PHARMACY
      2399  MAY 10,1998  OUTPATIENT PHARMACY
      2400  MAY 10,1998  OUTPATIENT PHARMACY
      2401  MAY 10,1998  INPATIENT MEDICATIONS
      2402  MAY 10,1998  INPATIENT MEDICATIONS
      2403  MAY 10,1998  INPATIENT MEDICATIONS
      2404  MAY 10,1998  INPATIENT MEDICATIONS
      2405  MAY 10,1998  PHARMACY DATA MANAGEMENT
      2406  MAY 10,1998  LAB SERVICE
      2407  MAY 10,1998  LAB SERVICE
      2409  MAY 11,1998  IFCAP
      2410  MAR 12,2001  TEXT INTEGRATION UTILITIES
      2411  MAY 14,1998  INPATIENT MEDICATIONS
      2412  MAY 14,1998  ORDER ENTRY/RESULTS REPORTING
      2414  MAY 15,1998  ORDER ENTRY/RESULTS REPORTING
      2415  MAY 15,1998  PHARMACY DATA MANAGEMENT
      2417  MAY 15,1998  INPATIENT MEDICATIONS
      2418  MAY 20,1998  PHARMACY DATA MANAGEMENT
      2419  MAY 20,1998  RADIOLOGY/NUCLEAR MEDICINE
      2420  MAY 20,1998  RADIOLOGY/NUCLEAR MEDICINE
      2421  MAY 20,1998  ADVERSE REACTION TRACKING
      2423  MAY 21,1998  PHARMACY DATA MANAGEMENT
      2424  MAY 21,1998  CONSULT/REQUEST TRACKING
      2425  MAY 21,1998  CONSULT/REQUEST TRACKING
      2426  MAY 21,1998  CONSULT/REQUEST TRACKING
      2427  MAY 21,1998  CONSULT/REQUEST TRACKING
      2428  MAY 21,1998  LAB SERVICE
      2429  MAY 21,1998  LAB SERVICE
      2430  MAY 21,1998  KERNEL
      2432  JUN 24,2004  SCHEDULING
      2433  JUN 10,1998  KERNEL
      2434  JUN 16,1998  HEALTH LEVEL SEVEN
      2437  JUN 21,1998  REGISTRATION
